timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777593309476,74,03 - POST /restaurants/20/reviews,401,Unauthorized,Virtual Users [500 threads] 1-9,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,446,6,6,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/20/reviews,74,0,0
1777593309427,144,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-12,text,false,Login failed — check credentials in users.csv,337,360,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,144,0,73
1777593309512,76,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-11,text,true,,790,311,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,76,0,0
1777593309538,73,03 - POST /restaurants/20/reviews,401,Unauthorized,Virtual Users [500 threads] 1-10,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,447,6,6,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/20/reviews,73,0,0
1777593309490,145,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-13,text,false,Login failed — check credentials in users.csv,337,359,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,145,0,72
1777593309573,76,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-12,text,true,,790,311,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,76,0,0
1777593309588,73,03 - POST /restaurants/20/reviews,401,Unauthorized,Virtual Users [500 threads] 1-11,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,447,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/20/reviews,73,0,0
1777593309544,142,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-14,text,false,Login failed — check credentials in users.csv,337,360,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,142,0,71
1777593309635,77,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-13,text,true,,790,311,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,77,0,0
1777593309649,74,03 - POST /restaurants/20/reviews,401,Unauthorized,Virtual Users [500 threads] 1-12,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,447,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/20/reviews,74,0,0
1777593309604,142,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-15,text,false,Login failed — check credentials in users.csv,337,362,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,142,0,71
1777593309686,77,02 - GET /restaurants (search),200,OK,Virtual Users [500 threads] 1-14,text,true,,790,311,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants?q=pizza&limit=12&sort=rating,77,0,0
1777593309713,74,03 - POST /restaurants/20/reviews,401,Unauthorized,Virtual Users [500 threads] 1-13,text,false,"Review submission returned unexpected status (401 = bad token, 5xx = server error)",255,447,6,6,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/restaurants/20/reviews,74,0,0
1777593309665,143,01 - POST /auth/user/login,503,Service Temporarily Unavailable,Virtual Users [500 threads] 1-16,text,false,Login failed — check credentials in users.csv,337,361,5,5,http://k8s-forkfind-forkfind-8e65d48af1-1990260306.us-east-1.elb.amazonaws.com/auth/user/login,143,0,72
